day_period;currency_code;currency_name;currency_rate;source
2021-01-13;NGN;Nigerian Naira;0.002625774135;XE
2021-01-13;NOK;NOK;0.1176709546;ECB
2021-01-13;NZD;NZD;0.7175887696;ECB
2021-01-13;PHP;PHP;0.0208065399;ECB
2021-01-13;PLN;PLN;0.2688440545;ECB
2021-01-13;RON;RON;0.249687019;ECB
2021-01-13;RUB;RUB;0.0135500118;ECB
2021-01-13;SEK;SEK;0.1200003945;ECB
2021-01-13;SGD;SGD;0.7538261354;ECB
2021-01-13;THB;THB;0.033288642;ECB
2021-01-13;TRY;TRY;0.1343849068;ECB
2021-01-13;UGX;Ugandan Shilling;0.000270044261;XE
2021-01-13;USD;USD;1.0;ECB
2021-01-13;UST;USDT;1.0;CUST
2021-01-13;VND;Vietnamese Dong;0.000043273862;XE
2021-01-13;XBT;Bitcoin;34655.558405012584;XE
2021-01-13;ZAR;ZAR;0.0652931106;ECB
2021-01-14;AUD;AUD;0.7750926991;ECB
2021-01-14;BGN;BGN;0.6198997853;ECB
2021-01-14;BRL;BRL;0.1897695968;ECB
2021-01-14;CAD;CAD;0.7882452376;ECB
2021-01-14;CHF;CHF;1.1220731143;ECB
2021-01-14;CNY;CNY;0.1546251068;ECB
2021-01-14;CZK;CZK;0.046292478;ECB
2021-01-14;DKK;DKK;0.1629723227;ECB
2021-01-14;EUR;EUR;1.2124;ECB
2021-01-14;GBP;GBP;1.3631202006;ECB
2021-01-14;HKD;HKD;0.1289718632;ECB
2021-01-14;HRK;HRK;0.1601796803;ECB
2021-01-14;HUF;HUF;0.0033718052;ECB
2021-01-14;IDR;IDR;0.0000712048;ECB
2021-01-14;ILS;ILS;0.3182569891;ECB
2021-01-14;INR;INR;0.0136743268;ECB
2021-01-14;ISK;ISK;0.0077420179;ECB
2021-01-14;JPY;JPY;0.0096062119;ECB
2021-01-14;KRW;KRW;0.0009113254;ECB
2021-01-14;LAK;Lao Kip;0.00010761862;XE
2021-01-14;MXN;MXN;0.0504288364;ECB
2021-01-14;MYR;MYR;0.2477724189;ECB
2021-01-14;NGN;Nigerian Naira;0.002533180154;XE
2021-01-14;NOK;NOK;0.1175854444;ECB
2021-01-14;NZD;NZD;0.71939714;ECB
2021-01-14;PHP;PHP;0.0208201676;ECB
2021-01-14;PLN;PLN;0.2671720399;ECB
2021-01-14;RON;RON;0.2487586688;ECB
